date,apt_price,interbank_rate,return_corporate,customer_price,real_estate_tax,amount_current,gdp,exchange_rate
2006. 01,62,5.02,5.5,79.306,4890 ,1027697.4,5.6,965 
2006. 02,62.7,4.87,5.33,79.464,4890 ,1034711.9,18.7,971 
2006. 03,63.3,4.93,5.3,79.934,4890 ,1042293.6,8.6,972 
2006. 04,63.8,4.95,5.24,80.013,4890 ,1048598.6,7.8,943 
2006. 05,64.1,4.78,5.05,80.169,4890 ,1055855.4,9.8,946 
2006. 06,64.7,4.89,5.17,80.013,4890 ,1072886.5,9.3,949 
2006. 07,65,4.89,5.18,80.326,4890 ,1082577.5,1.5,955 
2006. 08,66,4.77,5.1,80.797,4890 ,1084752.6,10.0,961 
2006. 09,67.1,4.69,5.02,81.032,4890 ,1098444.2,18.1,946 
2006. 10,69.7,4.62,4.93,80.64,4890 ,1110360.9,4.8,942 
2006. 11,72.4,4.72,5.05,80.248,4890 ,1123714.6,7.1,930 
2006. 12,73,4.82,5.18,80.483,4890 ,1138295.5,2.2,930 
2007. 01,74.6,4.97,5.32,80.64,12043 ,1143814.9,8.7,941 
2007. 02,74.5,4.91,5.28,81.189,12043 ,1154108.8,-0.2,942 
2007. 03,74.9,4.79,5.2,81.66,12043 ,1162429.3,3.5,941 
2007. 04,74.6,4.94,5.34,81.973,12043 ,1165291,6.4,931 
2007. 05,74,5.1,5.49,82.052,12043 ,1171148.4,5.8,928 
2007. 06,74.6,5.24,5.64,82.052,12043 ,1190080.2,6.7,924 
2007. 07,75.1,5.35,5.75,82.366,12043 ,1200892.7,13.6,919 
2007. 08,75.6,5.28,5.7,82.444,12043 ,1208052.8,9.0,938 
2007. 09,75.9,5.39,5.85,82.915,12043 ,1219265.1,-3.0,915 
2007. 10,76.2,5.42,5.98,83.072,12043 ,1229742.1,16.1,901 
2007. 11,76.1,5.54,6.16,83.072,12043 ,1250790.1,7.7,921 
2007. 12,76.1,5.89,6.73,83.386,12043 ,1269522.5,9.4,936 
2008. 01,76.7,5.44,6.64,83.777,7276 ,1286407.8,12.0,944 
2008. 02,77.2,5.06,6.27,84.092,7276 ,1309161.7,10.9,939 
2008. 03,78.1,5.15,6.13,84.876,7276 ,1324032.7,10.8,990 
2008. 04,79.2,4.98,5.91,85.347,7276 ,1339434.9,11.2,1003 
2008. 05,79.8,5.28,6.22,86.052,7276 ,1356612.9,9.2,1030 
2008. 06,80.4,5.7,6.68,86.601,7276 ,1369728.1,7.3,1046 
2008. 07,80.4,5.96,6.99,87.229,7276 ,1378914.3,8.8,1012 
2008. 08,80.4,5.77,7.11,87.072,7276 ,1386101.1,2.2,1089 
2008. 09,79.7,5.81,7.46,87.151,7276 ,1395719.2,6.6,1207 
2008. 10,77.8,5.09,7.95,87.072,7276 ,1403984.2,-1.6,1291 
2008. 11,75.3,4.97,8.56,86.837,7276 ,1426165.1,-13.6,1469 
2008. 12,72.5,3.97,8.35,86.837,7276 ,1436298.3,-18.4,1260 
2009. 01,73,3.44,7.34,86.916,1493 ,1440275.8,-25.3,1380 
2009. 02,74.2,3.78,7.07,87.543,1493 ,1457931.3,-9.4,1534 
2009. 03,74.6,3.69,6.14,88.17,1493 ,1470443.1,-10.1,1384 
2009. 04,75.7,3.76,5.68,88.405,1493 ,1482009.7,-7.4,1282 
2009. 05,76.7,3.83,5.16,88.405,1493 ,1491542.7,-8.2,1255 
2009. 06,77.5,4.09,5.21,88.327,1493 ,1501898.3,-0.6,1274 
2009. 07,78.4,4.09,5.46,88.641,1493 ,1512822.5,1.0,1229 
2009. 08,79.4,4.42,5.74,88.955,1493 ,1524879.7,1.4,1249 
2009. 09,80.2,4.4,5.58,89.034,1493 ,1535279.8,12.1,1178 
2009. 10,80,4.47,5.6,88.798,1493 ,1551319.5,1.2,1183 
2009. 11,79.4,4.32,5.43,88.955,1493 ,1564175.8,18.5,1163 
2009. 12,79,4.24,5.35,89.269,1493 ,1570027.1,34.8,1165 
2010. 01,79.7,4.29,5.4,89.974,1901 ,1574215.8,38.7,1162 
2010. 02,79.6,4.19,5.32,90.156,1901 ,1595403.8,18.9,1160 
2010. 03,79.6,3.94,5.02,90.338,1901 ,1607896.1,22.6,1131 
2010. 04,78.8,3.77,4.69,90.702,1901 ,1621176.9,20.2,1108 
2010. 05,78.3,3.7,4.48,90.793,1901 ,1630904.7,20.1,1203 
2010. 06,77.8,3.75,4.65,90.702,1901 ,1647981.2,16.0,1222 
2010. 07,77.6,3.88,4.81,90.884,1901 ,1653057.5,14.1,1183 
2010. 08,77.5,3.73,4.68,91.34,1901 ,1653907.2,14.1,1198 
2010. 09,78.1,3.48,4.41,92.068,1901 ,1659400.1,1.6,1140 
2010. 10,78.5,3.24,4.13,92.068,1901 ,1669376.6,14.4,1125 
2010. 11,79.1,3.4,4.19,91.613,1901 ,1679909.9,12.4,1160 
2010. 12,79.8,3.25,4.17,91.977,1901 ,1682871.9,11.1,1135 
2011. 01,81.2,3.71,4.52,93.07,1811 ,1676448.8,11.9,1122 
2011. 02,82.4,3.94,4.72,93.707,1811 ,1674390.5,6.7,1129 
2011. 03,83.3,3.74,4.54,94.072,1811 ,1677475.9,8.9,1097 
2011. 04,83.8,3.74,4.54,94.163,1811 ,1684792.3,5.5,1072 
2011. 05,84.1,3.66,4.44,94.345,1811 ,1690543,6.9,1079 
2011. 06,84.3,3.65,4.4,94.527,1811 ,1697204.2,5.9,1068 
2011. 07,84.8,3.77,4.48,94.982,1811 ,1705451.5,3.6,1055 
2011. 08,85.3,3.57,4.29,95.62,1811 ,1719437.8,5.1,1067 
2011. 09,85.9,3.45,4.24,95.529,1811 ,1729531.1,7.2,1178 
2011. 10,85.9,3.47,4.29,95.347,1811 ,1742645.4,4.2,1110 
